64,443,256,443,256,468,64,468,0.9994609
64,237,256,237,256,263,64,263,0.9994368
64,268,288,268,288,292,64,292,0.9994234
64,591,112,591,112,616,64,616,0.9994203
64,561,112,561,112,584,64,584,0.9994178
64,855,528,855,528,887,64,887,0.99941707
448,613,528,613,528,642,448,642,0.99941385
64,621,112,621,112,644,64,644,0.9994031
336,558,512,558,512,584,336,584,0.9994018
64,740,224,740,224,765,64,765,0.99938965
64,296,176,296,176,320,64,320,0.99938715
64,532,112,532,112,554,64,554,0.99937904
192,154,384,154,384,176,192,176,0.9993555
160,183,400,183,400,205,160,205,0.9993467
416,294,512,294,512,321,416,321,0.9993443
64,474,256,474,256,498,64,498,0.99934155
368,531,496,531,496,553,368,553,0.99933964
432,355,496,355,496,379,432,379,0.99932945
256,892,320,892,320,919,256,919,0.9993284
352,266,528,266,528,292,352,292,0.99932814
304,677,528,677,528,704,304,704,0.99932766
64,325,176,325,176,347,64,347,0.9993217
320,474,496,474,496,494,320,494,0.9993162
224,800,336,800,336,826,224,826,0.9993125
416,325,528,325,528,354,416,354,0.9993044
64,502,144,502,144,523,64,523,0.9993044
416,730,528,730,528,764,416,764,0.99930286
144,944,416,944,416,977,144,977,0.99930024
336,235,528,235,528,265,336,265,0.99929917
64,355,176,355,176,379,64,379,0.99929094
496,1153,528,1153,528,1215,496,1215,0.9992888
240,211,336,211,336,234,240,234,0.9992854
224,123,352,123,352,147,224,147,0.99928457
368,503,496,503,496,525,368,525,0.9992805
0,636,32,636,32,685,0,685,0.9992803
432,442,496,442,496,470,432,470,0.99928015
0,301,32,301,32,351,0,351,0.9992778
368,587,528,587,528,615,368,615,0.9992704
64,769,496,769,496,794,64,794,0.99926585
176,1001,384,1001,384,1034,176,1034,0.99926466
304,646,528,646,528,676,304,676,0.9992606
496,980,543,980,543,1050,496,1050,0.9992594
48,646,112,646,112,673,48,673,0.9992442
240,385,320,385,320,410,240,410,0.9992424
208,972,352,972,352,1002,208,1002,0.9992423
0,678,256,678,256,702,0,702,0.999238
