64,443,256,443,256,468,64,468,.0
64,237,256,237,256,263,64,263,:0
64,268,288,268,288,292,64,292,.0
64,591,112,591,112,616,64,616,:
64,561,112,561,112,584,64,584,:.0
64,855,528,855,528,887,64,887,1 itnv nimo
448,613,528,613,528,642,448,642,::
64,621,112,621,112,644,64,644,0
336,558,512,558,512,584,336,584,.0
64,740,224,740,224,765,64,765, l:
64,296,176,296,176,320,64,320,:
64,532,112,532,112,554,64,554,:0.20
192,154,384,154,384,176,192,176,.0
160,183,400,183,400,205,160,205,.0
416,294,512,294,512,321,416,321,.0
64,474,256,474,256,498,64,498,.0
368,531,496,531,496,553,368,553,0:::r
432,355,496,355,496,379,432,379,.0
256,892,320,892,320,919,256,919,*
352,266,528,266,528,292,352,292,.0
304,677,528,677,528,704,304,704,:
64,325,176,325,176,347,64,347,:.0
320,474,496,474,496,494,320,494,mt
224,800,336,800,336,826,224,826,ailt
416,325,528,325,528,354,416,354,.0
64,502,144,502,144,523,64,523,:
416,730,528,730,528,764,416,764,t
144,944,416,944,416,977,144,977,ihiii num
336,235,528,235,528,265,336,265,.0
64,355,176,355,176,379,64,379,.0
496,1153,528,1153,528,1215,496,1215,*
240,211,336,211,336,234,240,234,.0
224,123,352,123,352,147,224,147,.0
368,503,496,503,496,525,368,525,1
0,636,32,636,32,685,0,685,.:
432,442,496,442,496,470,432,470,.0
0,301,32,301,32,351,0,351,.0
368,587,528,587,528,615,368,615,.220
64,769,496,769,496,794,64,794, tmtiittl
176,1001,384,1001,384,1034,176,1034,.0
304,646,528,646,528,676,304,676,:/uil
496,980,543,980,543,1050,496,1050,.0
48,646,112,646,112,673,48,673, 
240,385,320,385,320,410,240,410,.0
208,972,352,972,352,1002,208,1002,4lbal--l
0,678,256,678,256,702,0,702,r :
