128,34,416,34,416,83,128,83,tan chay yee
160,273,384,273,384,293,160,293,81750 masal johor
32,512,256,512,256,533,32,533,sales persor:fatin
192,384,352,384,352,405,192,405,taxinvoice
128,857,336,857,336,879,128,879,total inclusive gst:
32,426,352,426,352,447,32,447,invoice no : pegiva1030765
144,327,400,327,400,353,144,353,email: ng@oicgrouip.com
32,537,112,537,112,560,32,560,bill to
32,457,96,457,96,475,32,475,date
32,693,160,693,160,714,32,714,description.
32,580,128,580,128,602,32,602,address 
224,916,320,916,320,938,224,938,total:
32,485,112,485,112,503,32,503,cashier
160,538,496,538,496,560,160,560,:the peak quarry works
384,798,480,798,480,824,384,824,193.00
256,717,512,717,512,739,256,739,1 19300 193.00 sr
160,482,336,482,336,502,160,502,: ng chuan min
160,455,448,455,448,476,160,476,: 15/01/2019 11:05:16 am
384,951,496,951,496,979,384,979,191.00
160,188,384,188,384,210,160,210,roc no: 538358-h
208,887,336,887,336,906,208,906,round amt:
32,1107,496,1107,496,1126,32,1126,goods suld arc nae returnable & refundable
160,245,384,245,384,264,160,264,bandar seri alam.
384,854,480,854,480,879,384,879,193.00
16,801,336,801,336,824,16,824,qty:1 total exclude gst:
112,984,320,984,320,1003,112,1003,x0000000000x1318
16,717,160,717,160,738,16,738,000000111
224,691,496,691,496,712,224,712,qty pice amount
128,216,400,216,400,238,128,238,no 2 8 4 jalan bayu 4
416,883,480,883,480,906,416,906,0.00
176,955,320,955,320,974,176,974,visa card
368,914,480,914,480,938,368,938,193.00
48,1133,480,1133,480,1155,48,1155,lwthank you. pleasa ctome agan.*y
96,1008,320,1008,320,1031,96,1031,approval code:000
16,751,352,751,352,773,16,773,kinos safety sh0es kimd 805
400,828,480,828,480,854,400,854, 0.00
80,300,448,300,448,322,80,322,te:07-388 2218 fax:07-368 8218
368,1007,512,1007,512,1060,368,1060,(77.00
208,128,368,128,368,152,208,152,** copy ***
144,829,336,829,336,851,144,851,total gst @6%:
96,157,432,157,432,180,96,180,ojc marketing sdn bhd
