256,572,304,572,304,642,256,642, 
192,630,272,630,272,690,192,690,:
128,318,192,318,192,333,128,333,.0
96,164,336,164,336,187,96,187, 
272,86,400,86,400,107,272,107,kwdp
160,397,256,397,256,415,160,415,l
128,122,304,122,304,142,128,142,1
192,1074,224,1074,224,1089,192,1089,-0
112,144,320,144,320,165,112,165,1
16,81,400,81,400,104,16,104,tkvmn
160,100,272,100,272,121,160,121,1
16,218,288,218,288,243,16,243,w
112,642,192,642,192,659,112,659,:
16,686,224,686,224,701,16,701,tqtiki
240,492,336,492,336,507,240,507,: 040
16,599,160,599,160,613,16,613,t
336,627,384,627,384,642,336,642, 
16,258,224,258,224,274,16,274,...0
16,236,384,236,384,263,16,263, p
16,856,288,856,288,872,16,872,t vvtitr:
304,574,336,574,336,599,304,599,x
16,276,176,276,176,291,16,291,.0
112,328,224,328,224,346,112,346,.0
16,1084,400,1084,400,1100,16,1100, l
16,746,336,746,336,762,16,762,(uxjml ywy
64,1136,384,1136,384,1152,64,1152,d
336,646,384,646,384,661,336,661, 
240,431,400,431,400,448,240,448,1 ia
144,1151,336,1151,336,1167,144,1167,1
96,949,336,949,336,964,96,964,1m4amm
96,967,336,967,336,981,96,981,xy*yiimkwwww.
96,1171,368,1171,368,1186,96,1186,ma
32,1035,400,1035,400,1048,32,1048,ltmm 6w .u
112,1120,352,1120,352,1136,112,1136,*
0,556,384,556,384,570,0,570,lawvi
32,1052,400,1052,400,1066,32,1066,pyppwhx
112,36,304,36,304,56,112,56, 
16,445,288,445,288,463,16,463,.0
0,800,320,800,320,819,0,819,titamnm
16,549,64,549,64,562,16,562,t .m
16,428,160,428,160,442,16,442,.0
0,363,400,363,400,387,0,387, tehairma
16,459,288,459,288,477,16,477,0.20
16,473,64,473,64,487,16,487,4
80,703,320,703,320,722,80,722,skccv
16,396,80,396,80,411,16,411,.0
144,188,272,188,272,207,144,207, z35/7p
0,300,224,300,224,319,0,319,.0
16,1100,400,1100,400,1118,16,1118,.0
0,516,80,516,80,532,0,532,p
0,1186,64,1186,64,1201,0,1201,..0
0,768,256,768,256,784,0,784,.0
0,821,320,821,320,837,0,837,nviicmvvue
128,60,304,60,304,81,128,81, 
144,474,368,474,368,494,144,494,-rr
0,324,112,324,112,342,0,342,.0
0,286,224,286,224,301,0,301,.0
16,381,368,381,368,400,16,400, tllpl1r
128,918,288,918,288,933,128,933,..0
336,521,400,521,400,538,336,538,:
80,786,336,786,336,803,80,803,c
96,622,256,622,256,642,96,642,alm0pl
